PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
0.0 1222.0 0.0 0.0
0.0 1237.0 0.0 0.0
0.0 1257.0 0.0 0.0
0.0 1279.0 0.0 0.0
0.0 1327.0 0.0 0.0
1536.5 1343.0 0.053079310813167704 0.008461919115142677
1516.9 1355.0 0.15385307482077595 0.013077511359765955
0.0 1406.0 0.0 0.0
0.0 1422.0 0.0 0.0
0.0 1441.0 0.0 0.0
1346.1 1476.0 0.1969319357705932 0.020770165100804754
1335.0 1484.2259599255217 0.08077286428090738 0.020000899726700876
1111.0 1649.0147459467403 0.016154572856181472 0.005384857618727159
1078.0 1673.9001889371812 0.04307886094981727 0.008461919115142677
1064.0 1684.504862020825 0.034616941834674585 0.011538980611558197
1055.0 1691.3370044000576 0.03307841108646683 0.012308245985662075
985.0 1744.872674812461 0.013077511359765955 0.005384857618727159
960.0 1764.1629666770014 0.020000899726700876 0.006154122992831038
924.0 1792.098553 0.03000134959005131 0.006923388366934917
897.0 1813.1722919358324 0.016154572856181472 0.005384857618727159
857.0 1844.584939613154 0.1900085474036583 0.014616042107973714
0.0 1881.0 0.0 0.0
0.0 1943.0 0.0 0.0
0.0 2006.0 0.0 0.0
0.0 2024.0 0.0 0.0
0.0 2049.0 0.0 0.0
576.5 2071.3166002253574 0.1930856089000738 0.015385307482077594
503.5 2131.0 0.40463358677864075 0.02846281884184355
493.6 2140.487280388122 0.21231724325267082 0.02461649197132415
466.4 2163.3974814387284 0.04846371856854442 0.009231184489246558
446.77 2183.0 0.5900265419376757 0.025385757345428032
421.2 2201.7036499699348 0.07538800666218022 0.02846281884184355
414.1 2207.7474128103786 0.08077286428090738 0.02923208421594743
383.67 2232.0 0.4300193441240688 0.021539430474908635
338.0 2272.980631072019 0.012308245985662075 0.006923388366934917
307.8 2299.098530084582 0.03384767646057071 0.008461919115142677
0.0 2317.0 0.0 0.0
0.0 2349.0 0.0 0.0
0.0 2371.0 0.0 0.0
0.0 2395.0 0.0 0.0
187.0 2404.8789290673135 0.021539430474908635 0.016923838230285353
176.0 2414.615275346086 0.07692653741038798 0.022308695849012513
155.0 2433.25106245528 0.06307976067651813 0.022308695849012513
136.0 2450.166543760739 0.23616446984989106 0.0569256376836871
122.0 2462.6637317640752 0.061541229928310376 0.013846776733869835
107.0 2476.0847879122534 0.061541229928310376 0.01769310360438923
93.0 2488.6402380521836 0.02846281884184355 0.012308245985662075
70.0 2509.3281094375375 0.020770165100804754 0.016923838230285353
58.0 2520.1519170525717 0.09769670251119272 0.02692428809363579
44.0 2532.8058101129527 0.014616042107973714 0.023077961223116394
35.0 2540.9553081915165 0.08846551802194617 0.02615502271953191
24.0 2550.9315911510384 0.04384812632392115 0.015385307482077594
