 PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
0 1861.04 0.0 0.293140643544 0.00715789192072
1 1704.0 107.00969055200001 0.0194761245285 0.0021640138365
2 1664.14 136.0 2.03001144124 0.018976736720099998
3 0.0 227.0 0.0 0.0
4 1442.5 292.0 0.0897233429133 0.00416156507019
5 1381.5 338.0 0.0119853074021 0.0018310886308800002
6 1283.2 411.97747028199996 0.0168127228836 0.0021640138365
7 1264.7 426.0 0.0762398720858 0.004328027673
8 1243.66 442.0 0.35040377891 0.00815666753757
9 1172.1 498.0 0.0750746338662 0.0039951024673800005
10 1140.69 522.0 0.257517646543 0.00699142931792
11 0.0 568.0 0.0 0.0
12 1008.0 626.90566888 0.00932190575722 0.00166462602808
13 992.8 639.1334811209999 0.013816396033 0.0019975512336900003
14 961.1 665.0 0.631059727243 0.0109865317853
15 929.5 690.0 0.10570375278300001 0.0056597284954600004
16 917.4 700.342015981 0.0111529943881 0.0036621772617699997
17 883.8 727.9139896319999 0.00932190575722 0.00166462602808
18 821.5 779.0 0.05443327111809999 0.00332925205615
19 773.4 820.0 0.131172531012 0.00499387808423
20 722.8 863.0 0.00815666753757 0.00166462602808
21 685.4 894.4403113330001 0.00549326589265 0.00149816342527
22 597.0 970.6877546489999 0.0036621772617699997 0.00133170082246
23 568.7 995.364227778 0.0109865317853 0.0019975512336900003
24 552.9 1009.19751746 0.010820069182500001 0.0019975512336900003
25 0.0 1071.0 0.0 0.0
26 0.0 1082.0 0.0 0.0
27 0.0 1105.0 0.0 0.0
28 0.0 1134.0 0.0 0.0
29 315.9 1221.53951521 0.0156474846639 0.0021640138365
30 277.1 1257.16761351 0.0179779611032 0.0021640138365
31 253.0 1279.4199627 0.14315783841399998 0.00532680328984
32 299.0 1237.02802449 0.0031627894533399997 0.00149816342527
33 218.8 1311.15914346 0.00832313014038 0.0018310886308800002
34 184.6 1343.08740182 0.033958370972700005 0.00332925205615
35 170.9 1355.0 0.13333654484899998 0.00549326589265
36 0.0 1412.0 0.0 0.0
37 45.1 1476.0 0.179113760621 0.00865605534599
38 35.1 1484.87660661 0.0193096619257 0.00699142931792
