 PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
0 1867.86 0.0 1.03447869217 0.011230346539499999
1 1706.9 109.41887311 0.0207059514321 0.00187172442324
2 1669.54 136.0 1.4089405596 0.013219053739200001
3 0.0 227.0 0.0 0.0
4 1448.92 292.0 0.113356310383 0.0038604316229399996
5 1388.2 338.0 0.018600261455999998 0.00175474164679
6 1287.8 412.446671158 0.00678500103426 0.0012868105409800002
7 1270.08 426.0 0.143888815037 0.00456232828166
8 1248.37 442.0 0.18986304618299998 0.005147242163920001
9 1176.09 498.0 0.21934270584899998 0.005381207716830001
10 1145.01 522.0 0.106571309348 0.00397741439939
11 0.0 568.0 0.0 0.0
12 1011.9 627.208191144 0.021641813643799995 0.0019887071997
13 996.2 639.793790103 0.0155587092682 0.00187172442324
14 965.4 665.0 0.32228754912700003 0.006668018257810001
15 933.7 690.0 0.0507705249805 0.00315853496422
16 918.2 702.9031268919999 0.005147242163920001 0.00163775887034
17 887.0 728.41824505 0.00292456941132 0.0009358622116220001
18 825.9 779.0 0.0694877692129 0.0030415521877699995
19 776.7 820.0 0.0590763021086 0.00280758663487
20 725.1 863.0 0.012166208751100001 0.0014037933174300002
21 669.2 910.853193789 0.00526422494037 0.0010528449880700002
22 598.3 971.871297768 0.00269060385841 0.0008188794351689999
23 569.7 996.711759271 0.012400174303999999 0.0014037933174300002
24 552.3 1011.88824244 0.00432836272875 0.0010528449880700002
25 484.8 1071.21900622 0.0208229342086 0.0022226727526
26 471.8 1082.72902947 0.050653542204 0.0030415521877699995
27 446.2 1105.47363202 0.0139209503979 0.00163775887034
28 414.4 1133.87208655 0.0168455198092 0.00163775887034
29 317.3 1221.58256774 0.050887507756900006 0.00280758663487
30 293.0 1243.76775064 0.013686984845 0.00175474164679
31 277.0 1258.42663921 0.0529931977331 0.00292456941132
32 253.4 1280.12294103 0.0857483751398 0.00350948329358
33 215.5 1315.15139171 0.0169625025856 0.00175474164679
34 186.7 1341.92232892 0.0183662959031 0.0019887071997
35 171.8 1355.0 0.0766237185765 0.00339250051713
36 112.0 1411.97528614 0.0019887071997 0.0010528449880700002
37 45.3 1476.0 0.09510699725610001 0.00631706992845
38 36.2 1483.96849479 0.06586130314290001 0.0062000871519899995
