PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
1822.2 0.0 2.388266299491425 0.012468982335304782
1518.04 181.0 0.5508857220041726 0.0058391331911671175
1439.24 229.1 0.5129921805656611 0.005656660278943144
1256.32 344.1113482675669 0.07980148694595059 0.0025546207711356133
1232.51 360.5 1.156148371851089 0.00863705117860136
1181.88 389.0 0.19658415076929295 0.003649458244479448
1145.8 416.30420863123334 0.01076590182121437 0.0010948374733438344
1060.69 472.7 0.541944549305198 0.005899957495241775
1011.64 507.3 0.238127150452284 0.003892755460778078
925.7 565.0405547424787 0.003466985332255476 0.0006082430407465746
864.2 607.7817686904672 0.01849058843869587 0.0011556617774184919
808.26 647.1071046457603 0.07238092184884239 0.002493796467060956
790.0 660.0361631634846 0.05595835974868487 0.0023113235548369838
736.07 698.4871043591631 0.06873146360436294 0.0021896749466876688
666.16 749.4 0.3556397059245222 0.004926768630047255
628.18 776.6 0.05930369647279103 0.0025546207711356133
583.4 809.4894664128499 0.07067784133475197 0.0025546207711356133
509.5 864.362537322028 0.01751739957350135 0.0012773103855678067
491.4 877.9159628295602 0.009245294219347935 0.0010948374733438344
460.0 901.5345762427585 0.018612237046845184 0.0012164860814931492
427.3 926.2740331882062 0.006569024840063007 0.0008515402570452046
406.9 941.7817261025068 0.03430490749810681 0.0016422562100157517
380.05 962.2791402047278 0.1903192474496032 0.0035886339404047904
305.17 1019.9625795880042 0.008089632441929442 0.0006690673448212321
279.4 1039.991328967596 0.011982387902707522 0.000912364561119862
248.34 1064.2519544123359 0.06277068180504651 0.0020680263385383538
212.75 1092.1 0.2805216903923202 0.0042577012852260225
