PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
1812.31 0.0 5.435863975989422 0.031131209120651593
1509.6 181.0 0.18436773069898843 0.005645556058149251
1431.34 229.1 0.8832875706978658 0.01209762012460554
1250.69 343.42885853858786 0.18081909546243746 0.006129460863133473
1226.3 360.5 1.4110664113339901 0.015484953759495093
1175.7 389.0 0.08323162645728611 0.00403254004153518
0.0 415.0 0.0 0.0
1055.49 472.7 0.16081769685642297 0.005322952854826438
1006.42 507.3 0.21340201899804173 0.006129460863133473
919.6 565.9271403090102 0.004677746448180808 0.0011291112116298505
861.0 606.8813050012169 0.014033239344542425 0.0016130160166140718
805.3 646.2475333151168 0.0942001353702618 0.004677746448180808
787.3 659.0605498012961 0.07016619672271213 0.004355143244857995
735.7 696.0387280853222 0.0806508008307036 0.003871238439873773
0.0 749.4 0.0 0.0
0.0 776.6 0.0 0.0
579.1 810.5104069090643 0.01951749380103027 0.002419524024921108
507.7 863.8245031882661 0.010000699303007246 0.0016130160166140718
488.3 878.4318171656362 0.018549684191061826 0.0020969208215982937
458.1 901.2742805843474 0.008226381684731767 0.0014517144149526647
424.3 926.9887831355423 0.012420223327928354 0.001774317618275479
406.5 940.594045448374 0.04161581322864306 0.0029034288299053294
378.4 962.1609132603155 0.3508309836135607 0.007903778481408953
296.1 1025.9527465823435 0.005000349651503623 0.0014517144149526647
280.2 1038.3846663496702 0.008548984888054582 0.0016130160166140718
247.9 1063.7467518312064 0.00806508008307036 0.0016130160166140718
212.05 1092.1 0.3674450485846856 0.00806508008307036
