POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1821.60 0.12 11.21 0.08 707 8 12445 114 1816.18 0.09 908.09 0.04 0.56 0.05 0.0003 0.0002 0.0 0.0 37.7 1.6 9.39 0.12 9.39 0.12
1516.54 0.12 11.05 0.08 587 7 10236 103 1511.10 0.09 755.55 0.05 0.56 0.05 0.0003 0.0002 0.0 0.0 37.7 1.6 9.39 0.12 9.39 0.12
1437.53 0.13 11.01 0.08 550 7 9573 100 1432.08 0.09 716.04 0.05 0.56 0.05 0.0003 0.0002 0.0 0.0 37.7 1.6 9.39 0.12 9.39 0.12
1253.7 0.4 10.92 0.08 20.7 1.3 358 23 1248.3 0.4 624.14 0.22 0.56 0.05 0.0003 0.0002 0.0 0.0 37.7 1.6 9.39 0.12 9.39 0.12
1230.48 0.12 10.90 0.08 1009 10 17470 136 1225.02 0.08 612.51 0.04 0.56 0.05 0.0003 0.0002 0.0 0.0 37.7 1.6 9.39 0.12 9.39 0.12
1180.19 0.21 10.88 0.08 110 3 1899 47 1174.72 0.2 587.36 0.1 0.56 0.05 0.0003 0.0002 0.0 0.0 37.7 1.6 9.39 0.12 9.39 0.12
1143.8 0.7 10.86 0.08 11.5 1.0 198 18 1138.3 0.7 569.2 0.4 0.56 0.05 0.0003 0.0002 0.0 0.0 37.7 1.6 9.39 0.12 9.39 0.12
1058.77 0.09 9.92 0.11 380 6 6218 81 1053.16 0.09 526.58 0.05 0.31 0.09 -0.0015 0.0007 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
1009.32 0.13 9.89 0.11 184 4 3013 56 1003.70 0.13 501.85 0.06 0.31 0.09 -0.0015 0.0007 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
919.7 1.3 9.84 0.11 2.4 0.5 39 8 914.1 1.3 457.1 0.6 0.31 0.09 -0.0015 0.0007 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
860.6 0.4 9.81 0.11 20.1 1.2 327 19 855.0 0.4 427.51 0.18 0.31 0.09 -0.0015 0.0007 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
808.7 0.3 9.78 0.11 26.1 1.4 424 23 803.1 0.3 401.55 0.17 0.31 0.09 -0.0015 0.0007 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
785.70 0.25 9.77 0.11 54.9 2.0 891 32 780.06 0.25 390.03 0.12 0.31 0.09 -0.0015 0.0007 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
731.8 0.3 9.73 0.11 38.6 1.7 626 27 726.2 0.3 363.08 0.13 0.31 0.09 -0.0015 0.0007 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
663.27 0.1 9.22 0.14 344 6 5404 78 657.53 0.1 328.77 0.05 -1.0 0.5 0.036 0.013 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
625.57 0.21 9.20 0.14 81 3 1276 47 619.83 0.21 309.92 0.1 -1.0 0.5 0.036 0.013 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
582.0 0.4 13.5 0.7 35.2 2.0 695 34 576.8 0.4 288.41 0.19 2.4 0.4 0.052 0.011 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
506.6 0.5 9.2 0.3 16.4 1.3 257 20 500.9 0.5 250.43 0.23 0.85 0.14 0.0058 0.0014 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
487.2 0.7 9.2 0.3 11.9 1.2 186 18 481.5 0.7 240.7 0.3 0.85 0.14 0.0058 0.0014 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
456.7 0.6 9.2 0.3 9.7 1.0 152 15 451.0 0.6 225.5 0.3 0.85 0.14 0.0058 0.0014 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
420.5 0.7 9.2 0.3 8.2 0.9 128 14 414.7 0.7 207.4 0.3 0.85 0.14 0.0058 0.0014 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
400.3 0.4 9.1 0.3 26.5 1.7 414 24 394.6 0.4 197.28 0.18 0.85 0.14 0.0058 0.0014 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
376.7 0.3 9.1 0.3 40.3 2.0 630 28 371.0 0.3 185.48 0.15 0.85 0.14 0.0058 0.0014 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
297.2 0.5 10.02 0.16 7.1 0.7 117 11 291.6 0.5 145.8 0.3 0.0 0.0 -0.0210 0.0017 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
275.4 0.6 10.01 0.16 10.1 0.8 167 14 269.8 0.6 134.9 0.3 0.0 0.0 -0.0210 0.0017 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
246.09 0.24 9.99 0.16 48.5 1.9 797 29 240.48 0.24 120.24 0.12 0.0 0.0 -0.0210 0.0017 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
208.88 0.11 9.97 0.16 279 5 4577 70 203.27 0.11 101.64 0.06 0.0 0.0 -0.0210 0.0017 0.0 0.0 37.70 0.0 9.390 0.0 9.390 0.0
