POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1846.8 0.4 14.2 0.3 31.5 1.6 596 29 1842.2 0.5 921.1 0.3 3.56 0.18 -0.0117 0.0019 0.0 0.0 17 3 13.3 1.5 13.3 1.5
1794.11 0.24 14.07 0.18 154 3 3057 61 1788.7 0.3 894.33 0.13 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1630.8 0.3 13.98 0.18 118 3 2340 53 1625.3 0.3 812.66 0.13 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1569.9 0.5 13.95 0.18 22.4 1.3 444 26 1564.5 0.6 782.2 0.3 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1498.8 0.4 13.92 0.18 42.0 1.7 829 33 1493.3 0.4 746.67 0.19 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1460.1 1.9 13.90 0.18 4.1 0.8 82 16 1454.7 1.9 727.3 1.0 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1415.0 0.9 13.87 0.18 10.2 1.0 200 21 1409.5 0.9 704.8 0.5 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1393.7 0.8 13.86 0.18 13.0 1.2 256 23 1388.2 0.8 694.1 0.4 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1366.1 0.8 13.85 0.18 11.4 1.0 225 20 1360.6 0.8 680.3 0.4 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1330.6 2.4 13.83 0.18 2.6 0.7 50 13 1325.1 2.4 662.5 1.2 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1295.98 0.21 13.81 0.18 236 4 4623 72 1290.49 0.23 645.25 0.11 3.75 0.15 0.0082 0.0005 0.0 0.0 23.3 2.2 12.9 0.6 12.9 0.6
1161 6 12.6 0.3 0.7 0.6 13 10 1156 6 578 3 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
1124.1 0.5 12.6 0.3 16.3 1.2 300 21 1118.4 0.5 559.2 0.3 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
1062.0 0.6 12.6 0.3 11.8 1.0 218 18 1056.3 0.6 528.1 0.3 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
1025.9 0.4 12.6 0.3 25.6 1.4 471 25 1020.2 0.4 510.10 0.21 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
980.1 0.8 12.5 0.3 9.3 0.9 170 17 974.4 0.8 487.2 0.4 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
907.4 0.9 12.5 0.3 13.9 1.8 254 32 901.7 0.9 450.8 0.4 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
894.7 1.1 12.5 0.3 13.2 1.8 242 33 889.0 1.1 444.5 0.5 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
860.3 1.0 12.5 0.3 7.7 1.0 140 18 854.6 1.0 427.3 0.5 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
840.3 1.9 12.4 0.3 3.5 0.8 64 15 834.5 1.9 417.3 0.9 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
802.2 0.3 12.4 0.3 59.0 2.3 1077 37 796.5 0.3 398.25 0.13 1.84 0.16 0.0010 0.0012 0.0 0.0 23.30 0.0 12.90 0.0 12.90 0.0
667.6 1.0 10.2 0.6 6.3 1.1 155 18 660.0 1.2 330.0 0.6 3.7 0.5 -0.006 0.004 0.0 0.0 153 36 6.1 0.7 6.1 0.7
646.0 0.9 10.1 0.6 7.9 1.3 195 19 638.5 1.2 319.2 0.6 3.7 0.5 -0.006 0.004 0.0 0.0 153 36 6.1 0.7 6.1 0.7
601.8 0.9 12.94 0.15 6.7 0.8 93 11 601.8 0.9 300.9 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
583.5 0.4 12.93 0.15 29.1 1.7 400 22 583.5 0.4 291.77 0.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
567.4 1.0 12.92 0.15 10.4 1.1 142 16 567.4 1.0 283.7 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
551.1 0.6 12.91 0.15 12.1 1.1 166 15 551.1 0.6 275.6 0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
521.38 0.17 12.89 0.15 211 5 2892 70 521.38 0.17 260.69 0.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
508.1 0.6 12.88 0.15 55 4 752 51 508.1 0.6 254.0 0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
493.8 1.8 12.88 0.15 8.9 1.6 122 22 493.8 1.8 246.9 0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
479.1 0.8 12.86 0.15 12.9 1.3 177 17 479.1 0.8 239.5 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
456.6 0.3 12.85 0.15 41.0 2.1 560 27 456.6 0.3 228.31 0.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
439.5 0.3 12.84 0.15 62 3 841 35 439.5 0.3 219.73 0.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
425.9 1.0 12.83 0.15 13.2 1.8 180 24 425.9 1.0 212.9 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
407.1 0.6 12.82 0.15 9.4 0.9 128 12 407.1 0.6 203.5 0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6596 0.0 1.6596 0.0
382.4 1.5 21.4 1.1 10.9 1.5 249 32 382.4 1.5 191.2 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0745 0.0 15.0745 0.0
362 3 21.4 1.1 9.6 1.8 219 35 362 3 181.1 1.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0745 0.0 15.0745 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
310 3 21.4 1.1 11 4 255 91 310 3 155.2 1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0745 0.0 15.0745 0.0
296 9 21.4 1.1 5 3 125 74 296 9 148 4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0745 0.0 15.0745 0.0
277 8 21.3 1.1 3.3 1.5 76 33 277 8 138 4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0745 0.0 15.0745 0.0
