POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1861.24 0.06 10.04 0.06 1132 11 16495 131 1856.11 0.09 928.05 0.04 0.0 0.0 0.0 0.0 0.0 0.0 17.2 0.5 13.08 0.19 13.08 0.19
1701.7 0.4 9.96 0.06 20.0 1.2 290 18 1696.5 0.4 848.27 0.18 0.0 0.0 0.0 0.0 0.0 0.0 17.2 0.5 13.08 0.19 13.08 0.19
1664.50 0.07 9.94 0.06 909 10 13150 117 1659.34 0.09 829.67 0.04 0.0 0.0 0.0 0.0 0.0 0.0 17.2 0.5 13.08 0.19 13.08 0.19
1444.63 0.16 9.82 0.06 104 3 1493 39 1439.45 0.17 719.72 0.08 0.0 0.0 0.0 0.0 0.0 0.0 17.2 0.5 13.08 0.19 13.08 0.19
1382.7 0.5 9.79 0.06 10.5 0.9 150 13 1377.5 0.5 688.7 0.3 0.0 0.0 0.0 0.0 0.0 0.0 17.2 0.5 13.08 0.19 13.08 0.19
1284.5 0.6 10.96 0.11 7.9 0.9 113 13 1278.6 0.7 639.3 0.4 0.0 0.0 0.0 0.0 0.0 0.0 6.1 0.5 24.7 1.4 24.7 1.4
1264.13 0.13 10.96 0.11 169 4 2442 57 1258.2 0.3 629.08 0.16 0.0 0.0 0.0 0.0 0.0 0.0 6.1 0.5 24.7 1.4 24.7 1.4
1242.78 0.13 10.94 0.11 182 5 2631 57 1236.8 0.3 618.40 0.16 0.0 0.0 0.0 0.0 0.0 0.0 6.1 0.5 24.7 1.4 24.7 1.4
1170.42 0.15 10.90 0.11 134 4 1932 48 1164.4 0.3 582.21 0.17 0.0 0.0 0.0 0.0 0.0 0.0 6.1 0.5 24.7 1.4 24.7 1.4
1139.40 0.17 10.89 0.11 104 3 1491 42 1133.4 0.3 566.70 0.17 0.0 0.0 0.0 0.0 0.0 0.0 6.1 0.5 24.7 1.4 24.7 1.4
1007.8 0.7 7.5 0.3 12.0 1.4 159 17 1003.4 0.6 501.7 0.3 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
994.5 0.8 7.5 0.3 11.6 1.4 153 17 990.1 0.7 495.0 0.4 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
961.8 0.5 7.5 0.3 262 15 3463 65 957.4 0.3 478.70 0.15 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
930.4 0.6 7.5 0.3 47 3 623 34 926.0 0.4 462.98 0.22 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
918.6 1.2 7.5 0.3 8.7 1.9 115 24 914.2 1.3 457.1 0.7 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
884.5 1.5 7.4 0.3 2.9 0.7 38 9 880.1 1.4 440.0 0.7 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
822.3 0.5 7.4 0.3 68 4 890 32 817.9 0.3 408.93 0.17 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
773.4 0.5 7.4 0.3 64 4 841 31 769.0 0.3 384.50 0.17 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
722.9 0.8 7.4 0.3 8.6 1.1 112 13 718.5 0.7 359.2 0.3 1.93 0.11 0.0 0.0 0.0 0.0 54 12 6.1 0.3 6.1 0.3
567.4 2.4 10.7 1.2 9.1 1.6 135 16 564.2 1.1 282.1 0.5 1.34 0.18 0.0 0.0 0.0 0.0 41 65 6 4 6 4
550.3 2.4 10.7 1.2 4.3 1.0 63 12 547.1 1.6 273.6 0.8 1.34 0.18 0.0 0.0 0.0 0.0 41 65 6 4 6 4
481.2 2.3 10.6 1.2 17 3 252 31 478.0 1.0 239.0 0.5 1.34 0.18 0.0 0.0 0.0 0.0 41 65 6 4 6 4
469.6 2.3 10.6 1.2 23 4 344 32 466.4 0.8 233.2 0.4 1.34 0.18 0.0 0.0 0.0 0.0 41 65 6 4 6 4
443 3 10.6 1.2 17.8 2.2 262 20 439.4 1.1 219.7 0.5 1.34 0.18 0.0 0.0 0.0 0.0 41 65 6 4 6 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
315.3 0.3 8.1 0.3 65 3 740 29 312.44 0.25 156.22 0.12 1.0 0.0 0.0 0.0 0.0 0.0 31 4 6.0 0.0 6.0 0.0
275.3 0.3 8.0 0.3 46.9 2.4 535 25 272.4 0.3 136.18 0.14 1.0 0.0 0.0 0.0 0.0 0.0 31 4 6.0 0.0 6.0 0.0
251.8 0.3 8.0 0.3 85 3 966 34 248.9 0.3 124.43 0.13 1.0 0.0 0.0 0.0 0.0 0.0 31 4 6.0 0.0 6.0 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
