POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1725.4 1.8 10.1 1.5 4.1 1.5 103 14 1718 3 858.9 1.3 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1707 3 10.1 1.5 1.1 0.5 27 9 1700 4 849.8 1.8 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1669.0 1.8 10.0 1.5 3.0 1.1 76 11 1661 3 830.7 1.3 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1639.9 1.7 10.0 1.5 6.3 2.3 159 15 1632.4 2.4 816.2 1.2 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1566.9 2.3 10.0 1.5 1.1 0.5 29 8 1559 3 779.7 1.5 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1543 3 10.0 1.5 0.8 0.4 20 7 1536 4 767.8 2.1 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1525.4 1.7 10.0 1.5 5.2 1.9 130 14 1518 3 758.9 1.3 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1449.1 1.8 10.0 1.5 3.4 1.3 85 12 1442 3 720.8 1.3 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1426 3 9.9 1.5 0.8 0.4 19 7 1418 4 709.1 1.9 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1399 3 9.9 1.5 0.7 0.4 17 7 1392 4 695.9 1.8 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1349.4 1.8 10.0 1.5 4.6 1.7 116 19 1342 3 670.9 1.3 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1338 3 9.9 1.5 1.5 0.9 38 16 1330 4 665.2 1.8 0.97 0.08 0.0006 0.0004 0.0 0.0 173 98 5.8 1.1 5.8 1.1
1110 6 9 3 1.8 1.0 25 8 1107 3 553.4 1.4 0.90 0.07 -0.0008 0.0008 0.0 0.0 54 157 5 3 5 3
1078 6 9 3 4.4 2.0 62 16 1074 3 537.2 1.4 0.90 0.07 -0.0008 0.0008 0.0 0.0 54 157 5 3 5 3
1066 5 9 3 2.8 1.7 39 12 1063 4 531.4 1.8 0.90 0.07 -0.0008 0.0008 0.0 0.0 54 157 5 3 5 3
1050 6 9 3 4.2 2.0 59 11 1047 3 523.4 1.3 0.90 0.07 -0.0008 0.0008 0.0 0.0 54 157 5 3 5 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
855.8 0.5 7.3 0.3 16.5 1.6 193 17 851.9 0.5 426.0 0.3 1.92 0.15 0.0006 0.0015 0.0 0.0 34 8 7.0 0.8 7.0 0.8
809.6 0.6 7.3 0.3 13.9 1.4 162 16 805.7 0.6 402.9 0.3 1.92 0.15 0.0006 0.0015 0.0 0.0 34 8 7.0 0.8 7.0 0.8
731.5 0.4 7.2 0.3 80 4 928 33 727.6 0.4 363.79 0.19 1.92 0.15 0.0006 0.0015 0.0 0.0 34 8 7.0 0.8 7.0 0.8
656.0 0.6 7.2 0.3 12.1 1.3 140 15 652.0 0.6 326.0 0.3 1.92 0.15 0.0006 0.0015 0.0 0.0 34 8 7.0 0.8 7.0 0.8
634.0 0.5 7.2 0.3 19.3 1.6 223 18 630.0 0.5 315.0 0.3 1.92 0.15 0.0006 0.0015 0.0 0.0 34 8 7.0 0.8 7.0 0.8
604.2 1.1 7.2 0.3 4.3 0.9 50 11 600.3 1.1 300.1 0.6 1.92 0.15 0.0006 0.0015 0.0 0.0 34 8 7.0 0.8 7.0 0.8
578.8 0.6 7.1 0.3 14.3 1.5 164 17 574.8 0.6 287.4 0.3 1.92 0.15 0.0006 0.0015 0.0 0.0 34 8 7.0 0.8 7.0 0.8
505.6 0.3 7.3 0.3 59 3 645 40 501.6 0.8 250.8 0.4 2.9 0.3 -0.005 0.003 0.0 0.0 20 6 9.2 2.0 9.2 2.0
