POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1843.4 0.3 13.7 0.3 109 3 1982 52 1838.8 0.5 919.4 0.3 4.0 0.0 0.0 0.0 0.0 0.0 14 3 14.7 2.0 14.7 2.0
1803.6 0.4 13.7 0.3 43.4 2.1 785 34 1799.1 0.6 899.5 0.3 4.0 0.0 0.0 0.0 0.0 0.0 14 3 14.7 2.0 14.7 2.0
1754.2 0.3 13.7 0.3 85 3 1529 43 1749.6 0.5 874.8 0.3 4.0 0.0 0.0 0.0 0.0 0.0 14 3 14.7 2.0 14.7 2.0
1235.8 1.0 10.3 0.9 30 3 508 71 1230.0 2.2 615.0 1.1 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1220.8 1.0 10.3 0.9 24 3 406 48 1215.0 2.2 607.5 1.1 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1201.2 1.1 10.3 0.9 34 3 583 50 1195.4 2.4 597.7 1.2 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1183.4 1.1 10.3 0.9 29 3 503 42 1177.6 2.3 588.8 1.1 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1142.4 1.2 10.3 0.9 17 3 292 58 1136.6 2.3 568.3 1.1 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1126.0 1.1 10.3 0.9 54 5 925 107 1120.1 2.3 560.1 1.1 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1104 5 10.2 0.9 4 3 72 53 1098 6 549 3 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1094.3 1.4 10.2 0.9 24 4 402 70 1089 3 544.3 1.3 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
1073.3 1.2 10.2 0.9 29 3 498 79 1067.5 2.5 533.7 1.2 3.0 2.1 0.006 0.017 0.0 0.0 40 23 9 4 9 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
920 18 10.0 0.0 56 157 1492 57 911 27 455 14 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
902 18 10.0 0.0 55 153 1457 55 893 27 446 14 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
853 18 10.0 0.0 10 27 253 24 843 27 422 14 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
833 18 10.0 0.0 3 10 91 20 823 27 411 14 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
800 18 10.0 0.0 19 53 509 30 790 27 395 14 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
778 15 7.4 0.8 23 73 568 77 768 31 384 15 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
769 15 7.4 0.8 11 35 276 73 759 31 380 15 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
753 18 10.0 0.0 14 39 369 42 743 27 372 13 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
738 19 10.0 0.0 5 13 127 38 728 27 364 13 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
723 18 10.0 0.0 22 61 578 38 713 27 356 14 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
695 18 10.0 0.0 35 97 920 37 685 27 342 14 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
666 15 7.4 0.8 6 18 139 23 657 31 328 15 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
649 15 7.4 0.8 12 38 293 52 639 31 320 15 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
640 14 7.3 0.8 22 70 547 55 630 31 315 15 5.0 0.0 0.0 0.0 0.0 0.0 99 463 9.8 0.5 9.8 0.5
570.1 1.0 14.0 0.7 35.8 2.2 630 53 567.1 1.7 283.5 0.9 6.2 0.6 0.0 0.0 0.0 0.0 18 23 10 9 10 9
