POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1861.10 0.15 9.41 0.09 125 3 1857 43 1855.16 0.18 927.58 0.09 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.9 12.56 0.24 12.56 0.24
1704.1 0.5 9.34 0.09 11.0 0.9 162 13 1698.2 0.5 849.09 0.25 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.9 12.56 0.24 12.56 0.24
1664.14 0.09 9.31 0.09 837 11 12324 115 1658.18 0.13 829.09 0.06 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.9 12.56 0.24 12.56 0.24
1442.68 0.25 9.20 0.09 41.3 1.7 103 10 1436.7 0.3 718.34 0.13 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.9 12.56 0.24 12.56 0.24
1379.1 6 0 0 0 0 32 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1284.1 0.6 11.55 0.15 8.3 0.9 126 13 1279.5 0.7 639.7 0.3 0.0 0.0 0.0 0.0 0.0 0.0 9.2 1.0 17.7 1.2 17.7 1.2
1264.1 0.3 11.54 0.15 31.2 1.7 473 25 1259.4 0.4 629.70 0.22 0.0 0.0 0.0 0.0 0.0 0.0 9.2 1.0 17.7 1.2 17.7 1.2
1242.51 0.16 11.53 0.15 149 4 2260 50 1237.8 0.3 618.91 0.15 0.0 0.0 0.0 0.0 0.0 0.0 9.2 1.0 17.7 1.2 17.7 1.2
1170.9 0.3 11.49 0.15 32.2 1.7 487 24 1166.2 0.4 583.08 0.21 0.0 0.0 0.0 0.0 0.0 0.0 9.2 1.0 17.7 1.2 17.7 1.2
1139.41 0.18 11.47 0.15 108 3 1626 42 1134.7 0.3 567.35 0.16 0.0 0.0 0.0 0.0 0.0 0.0 9.2 1.0 17.7 1.2 17.7 1.2
1007.8 1.4 8.36 0.2 3.2 0.8 41 10 1004.2 1.3 502.1 0.7 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
993.1 1.0 8.36 0.2 5.4 0.9 68 11 989.5 1.0 494.7 0.5 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
961.3 0.3 8.34 0.2 297 8 3757 66 957.66 0.17 478.83 0.08 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
929.7 0.4 8.32 0.2 50 3 628 34 926.1 0.4 463.03 0.18 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
917.9 2.1 8.31 0.2 4.8 1.8 60 22 914.3 2.1 457.1 1.1 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
883.9 1.2 8.29 0.2 3.5 0.7 45 9 880.3 1.2 440.2 0.6 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
821.7 0.4 8.26 0.2 25.3 1.6 318 19 818.0 0.3 409.02 0.17 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
773.5 0.3 8.23 0.2 62 3 779 29 769.92 0.24 384.96 0.12 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
722.9 1.1 8.20 0.2 3.9 0.8 49 10 719.3 1.1 359.7 0.5 1.55 0.09 0.0 0.0 0.0 0.0 36 6 6.5 0.4 6.5 0.4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
316.1 0.7 9.0 0.3 9.0 0.9 123 12 312.2 0.6 156.1 0.3 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
278.4 0.7 8.9 0.3 9.7 1.0 133 13 274.6 0.6 137.3 0.3 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
253.6 0.4 8.9 0.3 66 3 904 32 249.7 0.3 124.85 0.16 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
219.5 0.8 8.9 0.3 6.5 0.9 88 11 215.7 0.9 107.8 0.4 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
185.4 0.6 8.9 0.3 17.4 1.6 238 21 181.5 0.6 90.8 0.3 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
171.3 0.4 8.9 0.3 64 3 869 33 167.5 0.3 83.73 0.17 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
45.6 0.4 8.8 0.3 89 4 1213 44 41.7 0.3 20.85 0.17 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
30.3 1.8 8.8 0.3 5.6 1.8 76 23 26.4 1.9 13.2 1.0 1.0 0.0 0.0 0.0 0.0 0.0 42 7 6.50 0.0 6.50 0.0
