PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
1725.4 1222.0 0.10433749549469111 0.01418179550413277
1707.0 1237.0 0.027350605615113203 0.009116868538371067
1669.0 1257.0 0.0769868898795779 0.011142839324675748
1639.9 1279.0 0.16106467751122217 0.015194780897285112
1566.9 1326.672117949082 0.029376576401417883 0.008103883145218727
1543.0 1343.0 0.020259707863046813 0.007090897752066385
1525.4 1355.0 0.1316881011098043 0.01418179550413277
1449.1 1406.49990988942 0.08610375841794896 0.012155824717828091
1426.0 1422.4320405619187 0.019246722469894475 0.007090897752066385
1399.0 1441.1696711380987 0.017220751683589792 0.007090897752066385
1349.4 1476.0 0.11750630560567153 0.019246722469894475
1338.0 1483.9618156344425 0.03849344493978895 0.016207766290437454
1110.0 1649.5401761755406 0.02532463482880852 0.008103883145218727
1078.0 1673.4906277573546 0.06280509437544513 0.016207766290437454
1066.0 1682.5171925877999 0.03950643033294129 0.012155824717828091
1050.0 1694.5909176236491 0.059766138195988104 0.011142839324675748
0.0 1743.0 0.0 0.0
0.0 1763.0 0.0 0.0
0.0 1792.0 0.0 0.0
0.0 1813.0 0.0 0.0
855.8 1844.626052050015 0.1955061808784018 0.017220751683589792
809.6 1881.2689067901806 0.1641036336906792 0.016207766290437454
731.5 1943.0 0.9400504448453723 0.033428517974027246
656.0 2005.718521655737 0.14181795504132771 0.015194780897285112
634.0 2023.8736507667425 0.225895742672972 0.018233737076742133
604.2 2048.597583948851 0.05064926965761704 0.011142839324675748
578.8 2069.7908852961205 0.16612960447698388 0.017220751683589792
505.6 2131.0 0.6533755785832598 0.040519415726093626
495.1 2140.4094374159727 0.18132438537426898 0.02836359100826554
473.0 2159.255356024737 0.012155824717828091 0.012155824717828091
449.3 2183.0 0.5196615066871508 0.029376576401417883
421.8 2203.2373773805048 0.20462304941677284 0.024311649435656182
413.2 2210.6689549187254 0.037480459546636605 0.019246722469894475
386.1 2232.0 0.37683056625267075 0.026337620221960862
342.8 2271.979726767229 0.10940242246045281 0.017220751683589792
310.0 2300.834396356822 0.02532463482880852 0.013168810110980431
0.0 2317.0 0.0 0.0
0.0 2349.0 0.0 0.0
0.0 2371.0 0.0 0.0
0.0 2395.0 0.0 0.0
180.0 2417.0069976862223 0.2056360348099252 0.026337620221960862
170.6 2425.519209868742 0.13776601346871833 0.019246722469894475
161.0 2434.228128662545 0.0820518168453396 0.015194780897285112
138.0 2455.1573566180596 0.17727244380165963 0.019246722469894475
125.0 2467.0269355633477 0.051662255050769386 0.013168810110980431
113.0 2478.00912081942 0.09623361234947236 0.013168810110980431
92.0 2497.287198469582 0.006077912358914046 0.007090897752066385
69.0 2518.4878123655894 0.008103883145218727 0.011142839324675748
61.0 2525.8831436366777 0.13574004268241366 0.020259707863046813
52.6 2533.6600203393614 0.05774016740968343 0.015194780897285112
37.0 2548.134803613237 0.06787002134120683 0.012155824717828091
26.0 2558.3663996869577 0.03849344493978895 0.010129853931523406
