PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
1865.33 0.0 0.659883518037386 0.014621696449768667
1706.4 107.99262961282056 0.02002536687685709 0.00286076669669387
1668.13 134.6007840907473 1.0664302519342148 0.018753915011659815
1448.1 292.1171588478337 0.07819428970963245 0.0050858074607891025
1288.8 410.9796630946148 0.01366810755087071 0.002225040764095232
1268.1 426.2 0.10934486040696569 0.006675122292285696
1247.7 442.6 0.18308906858840768 0.008264437123782291
1175.4 498.0 0.07437993411404062 0.0050858074607891025
1144.6 522.1 0.13668107550870712 0.006675122292285696
1012.4 626.8266100011047 0.011125203820476161 0.002225040764095232
994.7 641.0643220898911 0.010171614921578205 0.0019071777977959135
965.6 665.2 0.32739885528829843 0.010807340854176842
933.4 690.8 0.06261900436096582 0.005403670427088421
0.0 703.0 0.0 0.0
885.4 730.0918674172075 0.00572153339338774 0.0015893148314965943
826.0 779.274254669554 0.05403670427088421 0.004132218561891146
776.7 820.1 0.08614086386711542 0.005403670427088421
726.1 863.2599737236691 0.00572153339338774 0.0015893148314965943
566.6 1000.6528082972668 0.004767944494489783 0.0015893148314965943
550.8 1014.4838975520307 0.006357259325986377 0.0015893148314965943
0.0 1073.2 0.0 0.0
0.0 1082.9 0.0 0.0
0.0 1105.7 0.0 0.0
0.0 1134.1 0.0 0.0
0.0 1222.1 0.0 0.0
0.0 1257.9 0.0 0.0
0.0 1280.3 0.0 0.0
0.0 1315.2 0.0 0.0
0.0 1342.0 0.0 0.0
0.0 1355.9 0.0 0.0
48.1 1475.3390711387233 0.10648409371027182 0.010171614921578205
37.0 1485.9701988020306 0.02828980400063938 0.009218026022680247
