POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1120.5 0.3 7.6 0.3 115 5 1181 40 1118.2 0.3 559.11 0.16 -0.3 0.3 0.016 0.007 -0.0001 0.0001 22 8 6.0 1.1 6.0 1.1
1026.9 0.6 7.50 0.0 6.7 1.3 68 13 1024.6 0.6 512.3 0.3 0.0 0.3 0.01 0.03 0.0013 0.0022 22.0 0.0 6.0 0.0 6.0 0.0
1006.3 0.6 6.7 0.4 128 9 1320 50 1003.4 0.4 501.68 0.18 -0 3 0.03 0.03 0.0001 0.0005 42 18 4.9 0.8 4.9 0.8
876 10 0 0 0 0 27 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
836.98 0.22 7.50 0.0 74 4 741 43 834.69 0.22 417.34 0.11 -1.3 1.2 0.11 0.13 -0.002 0.003 22.0 0.0 6.0 0.0 6.0 0.0
825.2 0.6 7.50 0.0 18 4 184 42 822.9 0.6 411.5 0.3 -1.3 1.2 0.11 0.13 -0.002 0.003 22.0 0.0 6.0 0.0 6.0 0.0
757.4 0.3 7.3 0.4 46 3 454 32 755.1 0.3 377.55 0.15 0.0 0.8 0.11 0.07 -0.0039 0.0024 22.0 0.0 6.0 0.0 6.0 0.0
727.3 0.5 7.50 0.0 12 4 126 36 725.0 0.5 362.5 0.3 -1 3 -0.07 0.09 0.02 0.03 22.0 0.0 6.0 0.0 6.0 0.0
691.5 0.8 6.1 0.7 22 3 186 25 689.4 1.5 344.7 0.7 0.8 2.3 -0.00 0.05 -0.0000 0.0011 26 27 5 3 5 3
634.2 1.7 6.0 2.3 1.4 1.3 42 20 627 10 314 5 1.0 0.7 -0.001 0.023 -0.0002 0.0004 301 324 5 4 5 4
579 4 4 3 3 3 21 18 577 6 288 3 0.4 0.6 -0.01 0.04 -0.0001 0.001 45 172 4 9 4 9
505 15 0 0 0 0 21 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
467.2 1.1 4.8 0.7 36 7 265 24 465.1 0.6 232.6 0.3 -0.3 0.8 0.01 0.04 0.0003 0.0009 44 50 3.4 1.4 3.4 1.4
425.92 0.17 5.0 0.0 47 3 384 23 422.80 0.17 211.40 0.09 0.8 0.4 0.06 0.03 -0.0009 0.0015 27.0 0.0 6.0 0.0 6.0 0.0
414 6 5.0 0.0 0.8 1.9 6 15 411 6 205 3 0.8 0.4 0.06 0.03 -0.0009 0.0015 27.0 0.0 6.0 0.0 6.0 0.0
395.0 0.3 6.7 0.3 94 7 866 67 392.6 0.3 196.30 0.14 -0 3 0.6 0.4 -0.032 0.021 22.0 0.0 6.0 0.0 6.0 0.0
375.0 0.3 5.5 0.6 28 3 229 23 372.4 0.3 186.20 0.15 1.7 0.6 0.11 0.05 0.000 0.003 22.0 0.0 6.0 0.0 6.0 0.0
335 10 0 0 0 0 54 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
320.3 0.3 2.7 0.5 12 3 64 11 316.8 0.3 158.41 0.17 0.5 0.4 0.040 0.017 0.0022 0.0017 22.0 0.0 6.0 0.0 6.0 0.0
279.6 0.3 7.9 0.4 35 3 365 22 277.4 0.3 138.70 0.13 0.7 0.5 0.026 0.019 -0.0008 0.001 22.0 0.0 6.0 0.0 6.0 0.0
267.2 0.5 1.6 0.7 7 3 30 11 263.1 0.5 131.53 0.24 0.7 0.5 0.026 0.019 -0.0008 0.001 22.0 0.0 6.0 0.0 6.0 0.0
254 4 1 3 3 6 12 14 249 4 124.7 2.2 2.8 1.2 0.16 0.09 -0.07 0.03 22.0 0.0 6.0 0.0 6.0 0.0
237.8 1.1 5.0 0.9 17 4 163 56 234 3 117.2 1.3 8 6 -0.2 0.3 0.001 0.003 58 44 4 3 4 3
219.6 1.1 3.2 1.1 12 5 92 48 216 3 108.0 1.5 8 6 -0.2 0.3 0.001 0.003 58 44 4 3 4 3
205.8 1.1 5.0 0.0 15 5 139 56 202 3 101.2 1.3 8 6 -0.2 0.3 0.001 0.003 58 44 4 3 4 3
199.5 1.1 5.0 0.0 14 5 135 51 196 3 98.1 1.3 8 6 -0.2 0.3 0.001 0.003 58 44 4 3 4 3
188.7 1.1 4.0 0.9 27 8 230 87 185 3 92.6 1.4 8 6 -0.2 0.3 0.001 0.003 58 44 4 3 4 3
162.3 0.5 4.9 0.9 17 3 127 22 159.5 0.5 79.8 0.3 3 3 -0.3 0.3 0.009 0.013 22.0 0.0 6.0 0.0 6.0 0.0
155.5 0.6 4.9 1.4 13 3 100 34 152.8 0.6 76.4 0.3 3 3 -0.3 0.3 0.009 0.013 22.0 0.0 6.0 0.0 6.0 0.0
137.8 1.5 5.7 1.1 23 3 172 67 136 6 68 3 1.2 1.5 0.05 0.06 0.0 0.0 18 76 5 21 5 21
129.5 0.9 3.1 1.4 11 4 52 14 127 8 64 4 1.2 1.5 0.05 0.06 0.0 0.0 18 76 5 21 5 21
120.4 1.5 3.9 1.3 7 3 40 16 118 8 59 4 1.2 1.5 0.05 0.06 0.0 0.0 18 76 5 21 5 21
113.6 1.1 4.1 2.2 4.0 2.0 23 9 112 7 56 3 1.2 1.5 0.05 0.06 0.0 0.0 18 76 5 21 5 21
95.31 0.08 4.42 0.11 236 8 1602 42 92.79 0.08 46.39 0.04 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 5.50 0.0 5.50 0.0
75.4 0.8 2.2 1.5 3.9 2.4 18 9 72.1 0.8 36.1 0.4 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 5.50 0.0 5.50 0.0
70.0 0.6 2.9 1.2 4.9 2.0 26 8 67.0 0.6 33.5 0.3 0.0 0.0 0.0 0.0 0.0 0.0 22.0 0.0 5.50 0.0 5.50 0.0
60.6 0.5 4.0 1.0 8.0 1.8 52 10 57.7 0.5 28.8 0.3 0.50 0.0 -0.03 0.13 0.0 0.0 22.0 0.0 6.0 0.0 6.0 0.0
54.7 1.3 3 3 2.2 1.6 13 8 51.4 1.3 25.7 0.7 0.50 0.0 -0.03 0.13 0.0 0.0 22.0 0.0 6.0 0.0 6.0 0.0
39.39 0.11 4.98 0.21 128 6 967 37 36.68 0.11 18.34 0.06 -3.0 1.1 0.02 0.09 0.0 0.0 22.0 0.0 6.0 0.0 6.0 0.0
24.5 1.0 4.0 0.0 4.2 2.3 28 15 21.5 1.0 10.8 0.5 -3.0 1.1 0.02 0.09 0.0 0.0 22.0 0.0 6.0 0.0 6.0 0.0
