POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1093.51 0.23 8.36 0.17 60 3 532 28 1093.51 0.23 546.76 0.11 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
1084.6 0.9 8.36 0.17 10.4 2.1 92 18 1084.6 0.9 542.3 0.4 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
1043.44 0.22 8.34 0.17 57 3 503 26 1043.44 0.22 521.72 0.11 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
1033.6 0.8 8.33 0.17 9.4 1.7 84 15 1033.6 0.8 516.8 0.4 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
1009.60 0.23 8.32 0.17 73 4 643 34 1009.60 0.23 504.80 0.11 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
1001.3 0.6 8.31 0.17 20 3 176 26 1001.3 0.6 500.7 0.3 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
982.1 0.3 8.30 0.17 49 3 437 26 982.1 0.3 491.06 0.13 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
973.1 1.2 8.30 0.17 7.1 1.9 62 16 973.1 1.2 486.6 0.6 2.21 0.24 -0.008 0.005 0.0 0.0 0.0 0.0 1.8105 0.0 1.8105 0.0
944.7 1.4 7.1 0.5 2.4 0.9 19 7 944.7 1.4 472.4 0.7 1.34 0.22 0.006 0.008 0.0 0.0 0.0 0.0 4.7123 0.0 4.7123 0.0
934.3 1.1 7.1 0.5 3.0 0.9 22 7 934.3 1.1 467.1 0.6 1.34 0.22 0.006 0.008 0.0 0.0 0.0 0.0 4.7123 0.0 4.7123 0.0
915.5 0.3 7.1 0.5 16.1 1.9 122 12 915.5 0.3 457.77 0.16 1.34 0.22 0.006 0.008 0.0 0.0 0.0 0.0 4.7123 0.0 4.7123 0.0
887.4 1.9 7.1 0.5 1.4 0.8 10 6 887.4 1.9 443.7 1.0 1.34 0.22 0.006 0.008 0.0 0.0 0.0 0.0 4.7123 0.0 4.7123 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
730.1 0.4 11.8 0.5 23.2 1.7 291 19 730.1 0.4 365.05 0.21 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7201 0.0 1.7201 0.0
703.1 0.5 11.8 0.5 16.5 1.5 207 17 703.1 0.5 351.5 0.3 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7201 0.0 1.7201 0.0
688.5 1.5 11.8 0.5 4.2 1.0 52 12 688.5 1.5 344.2 0.8 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7201 0.0 1.7201 0.0
652.48 0.09 7.46 0.09 246 7 1954 48 652.48 0.09 326.24 0.05 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
643.4 0.4 7.46 0.09 34 3 269 26 643.4 0.4 321.69 0.19 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
587.51 0.13 7.43 0.09 116 4 915 32 587.51 0.13 293.75 0.06 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
577.3 0.5 7.42 0.09 15.4 2.0 122 16 577.3 0.5 288.7 0.3 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
555.4 1.0 7.41 0.09 4.8 1.2 38 10 555.4 1.0 277.7 0.5 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
501.89 0.18 7.37 0.09 53 3 415 22 501.89 0.18 250.94 0.09 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
461.5 0.4 7.35 0.09 36 3 283 26 461.5 0.4 230.75 0.18 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
454.6 0.7 7.35 0.09 15 3 116 22 454.6 0.7 227.3 0.4 3.97 0.17 0.0006 0.0022 0.0 0.0 0.0 0.0 1.6747 0.0 1.6747 0.0
