POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1041.7 0.5 5.3 0.7 7.5 1.6 42 8 1041.7 0.5 520.8 0.3 0.23 0.21 0.009 0.015 0.0 0.0 0.0 0.0 1.8132 0.0 1.8132 0.0
1035.8 1.5 5.3 0.7 1.9 1.1 11 6 1035.8 1.5 517.9 0.8 0.23 0.21 0.009 0.015 0.0 0.0 0.0 0.0 1.8132 0.0 1.8132 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1005.1 0.5 5.9 0.5 17 3 107 17 1005.1 0.5 502.6 0.3 0.44 0.19 -0.018 0.011 0.0 0.0 0.0 0.0 1.8033 0.0 1.8033 0.0
999.8 0.7 5.9 0.5 10 3 64 16 999.8 0.7 499.9 0.3 0.44 0.19 -0.018 0.011 0.0 0.0 0.0 0.0 1.8033 0.0 1.8033 0.0
980.0 6 0 0 0 0 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
974.7 8 0 0 0 0 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
866.3 0.6 9.2 0.9 6.1 1.0 59 9 866.3 0.6 433.2 0.3 0.04 0.24 0.004 0.009 0.0 0.0 0.0 0.0 1.7616 0.0 1.7616 0.0
852.8 1.6 9.2 0.9 1.7 0.6 17 6 852.8 1.6 426.4 0.8 0.04 0.24 0.004 0.009 0.0 0.0 0.0 0.0 1.7616 0.0 1.7616 0.0
839 4 9.2 0.9 0.6 0.5 6 5 839 4 419.5 2.0 0.04 0.24 0.004 0.009 0.0 0.0 0.0 0.0 1.7616 0.0 1.7616 0.0
815.9 0.8 6.0 0.6 2.4 0.7 15 5 815.9 0.8 408.0 0.4 0.17 0.14 0.000 0.004 0.0 0.0 0.0 0.0 1.7418 0.0 1.7418 0.0
792.3 1.4 6.0 0.6 1.2 0.6 8 4 792.3 1.4 396.2 0.7 0.17 0.14 0.000 0.004 0.0 0.0 0.0 0.0 1.7418 0.0 1.7418 0.0
771.3 0.9 5.9 0.6 2.3 0.7 15 4 771.3 0.9 385.6 0.4 0.17 0.14 0.000 0.004 0.0 0.0 0.0 0.0 1.7418 0.0 1.7418 0.0
727.2 15 0 0 0 0 31 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
698.9 13 0 0 0 0 19 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
650.9 0.5 6.2 0.4 15.5 2.3 102 15 650.9 0.5 325.4 0.3 0.47 0.08 -0.0005 0.0012 0.0 0.0 0.0 0.0 4.4095 0.0 4.4095 0.0
645.3 1.3 6.2 0.4 4.2 2.2 27 13 645.3 1.3 322.7 0.6 0.47 0.08 -0.0005 0.0012 0.0 0.0 0.0 0.0 4.4095 0.0 4.4095 0.0
587.1 0.8 6.1 0.4 6.9 1.6 45 11 587.1 0.8 293.6 0.4 0.47 0.08 -0.0005 0.0012 0.0 0.0 0.0 0.0 4.4095 0.0 4.4095 0.0
582 3 6.1 0.4 1.6 1.4 10 9 582 3 290.8 1.3 0.47 0.08 -0.0005 0.0012 0.0 0.0 0.0 0.0 4.4095 0.0 4.4095 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
535.2 0.8 6.1 0.4 2.7 0.8 18 5 535.2 0.8 267.6 0.4 0.47 0.08 -0.0005 0.0012 0.0 0.0 0.0 0.0 4.4095 0.0 4.4095 0.0
500.8 0.6 6.1 0.4 4.7 1.0 31 6 500.8 0.6 250.4 0.3 0.47 0.08 -0.0005 0.0012 0.0 0.0 0.0 0.0 4.4095 0.0 4.4095 0.0
488 7 6.1 0.4 0.2 0.5 2 3 488 7 244 4 0.47 0.08 -0.0005 0.0012 0.0 0.0 0.0 0.0 4.4095 0.0 4.4095 0.0
