POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1041.7 0.5 5.3 0.7 7.5 1.6 42 8 1041.7 0.5 520.8 0.3 0.23 0.21 0.009 0.015 0.0 0.0 0.0 0.0 1.8132 0.0 1.8132 0.0
1035.8 1.5 5.3 0.7 1.9 1.1 11 6 1035.8 1.5 517.9 0.8 0.23 0.21 0.009 0.015 0.0 0.0 0.0 0.0 1.8132 0.0 1.8132 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1005.1 0.5 5.9 0.5 17 3 107 17 1005.1 0.5 502.6 0.3 0.44 0.19 -0.018 0.011 0.0 0.0 0.0 0.0 1.8033 0.0 1.8033 0.0
999.8 0.7 5.9 0.5 10 3 64 16 999.8 0.7 499.9 0.3 0.44 0.19 -0.018 0.011 0.0 0.0 0.0 0.0 1.8033 0.0 1.8033 0.0
980.0 6 0 0 0 0 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
974.7 8 0 0 0 0 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
866.3 0.6 9.2 0.9 6.1 1.0 59 9 866.3 0.6 433.2 0.3 0.04 0.24 0.004 0.009 0.0 0.0 0.0 0.0 1.7616 0.0 1.7616 0.0
852.8 1.6 9.2 0.9 1.7 0.6 17 6 852.8 1.6 426.4 0.8 0.04 0.24 0.004 0.009 0.0 0.0 0.0 0.0 1.7616 0.0 1.7616 0.0
839 4 9.2 0.9 0.6 0.5 6 5 839 4 419.5 2.0 0.04 0.24 0.004 0.009 0.0 0.0 0.0 0.0 1.7616 0.0 1.7616 0.0
815.9 0.8 6.0 0.6 2.4 0.7 15 5 815.9 0.8 408.0 0.4 0.17 0.14 0.000 0.004 0.0 0.0 0.0 0.0 1.7418 0.0 1.7418 0.0
792.3 1.4 6.0 0.6 1.2 0.6 8 4 792.3 1.4 396.2 0.7 0.17 0.14 0.000 0.004 0.0 0.0 0.0 0.0 1.7418 0.0 1.7418 0.0
771.3 0.9 5.9 0.6 2.3 0.7 15 4 771.3 0.9 385.6 0.4 0.17 0.14 0.000 0.004 0.0 0.0 0.0 0.0 1.7418 0.0 1.7418 0.0
730.0 0.5 11.8 0.6 13.0 1.3 163 16 730.0 0.5 365.01 0.24 1.4 0.3 -0.010 0.008 0.0 0.0 0.0 0.0 1.7196 0.0 1.7196 0.0
701.7 0.5 11.8 0.6 14.2 1.4 177 17 701.7 0.5 350.9 0.3 1.4 0.3 -0.010 0.008 0.0 0.0 0.0 0.0 1.7196 0.0 1.7196 0.0
685.8 1.3 11.7 0.6 4.7 1.0 58 12 685.8 1.3 342.9 0.6 1.4 0.3 -0.010 0.008 0.0 0.0 0.0 0.0 1.7196 0.0 1.7196 0.0
652.33 0.11 7.75 0.12 161 5 1327 39 652.33 0.11 326.17 0.05 3.55 0.17 -0.0074 0.0024 0.0 0.0 0.0 0.0 1.6780 0.0 1.6780 0.0
641.9 0.6 7.74 0.12 16.0 2.1 132 17 641.9 0.6 321.0 0.3 3.55 0.17 -0.0074 0.0024 0.0 0.0 0.0 0.0 1.6780 0.0 1.6780 0.0
587.14 0.18 7.71 0.12 82 4 670 30 587.14 0.18 293.57 0.09 3.55 0.17 -0.0074 0.0024 0.0 0.0 0.0 0.0 1.6780 0.0 1.6780 0.0
578.4 1.0 7.71 0.12 9.2 2.1 75 17 578.4 1.0 289.2 0.5 3.55 0.17 -0.0074 0.0024 0.0 0.0 0.0 0.0 1.6780 0.0 1.6780 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
534.3 0.5 7.68 0.12 10.4 1.5 85 12 534.3 0.5 267.2 0.3 3.55 0.17 -0.0074 0.0024 0.0 0.0 0.0 0.0 1.6780 0.0 1.6780 0.0
501.86 0.22 7.66 0.12 40 3 323 20 501.86 0.22 250.93 0.11 3.55 0.17 -0.0074 0.0024 0.0 0.0 0.0 0.0 1.6780 0.0 1.6780 0.0
459.8 0.3 7.64 0.12 20.9 2.0 170 16 459.8 0.3 229.92 0.17 3.55 0.17 -0.0074 0.0024 0.0 0.0 0.0 0.0 1.6780 0.0 1.6780 0.0
