PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
1846.8 1063.9 0.02604906998655047 0.002409162542108714
1792.49 1085.0 0.4879307011064556 0.006549910661358066
1629.31 1175.0 0.2168999151192252 0.004441893437012942
1562.5 1211.3364837305362 0.02665136062207765 0.0018821582360224332
1497.7 1248.0 0.11338121213799136 0.0032373121659585846
0.0 1265.0 0.0 0.0
1414.3 1293.0911295797982 0.025672638339345986 0.0018821582360224332
1392.1 1305.4960040961137 0.025672638339345986 0.0018821582360224332
1364.3 1317.3 0.018068719065815357 0.0015810129182588437
0.0 1338.3 0.0 0.0
1295.36 1358.3 0.6933118078212234 0.007528632944089733
1130.1 1455.0103422742975 0.018068719065815357 0.0013551539299361517
1104.2 1470.1024653574684 0.014153829934888696 0.001204581271054357
1064.3 1493.4623066968666 0.015057265888179466 0.0011292949416134598
1031.0 1513.0600703654118 0.06677897421407593 0.002409162542108714
992.4 1535.8930822370166 0.024468057068291627 0.0015057265888179464
921.7 1574.0 0.018746296030783434 0.0017315855771406383
902.0 1597.0 0.0365138697788352 0.0021833035537860224
866.7 1611.1120890541733 0.01317510765215703 0.0013551539299361517
846.0 1624.5 0.007528632944089733 0.0011292949416134598
806.5 1647.6039251702468 0.12723389675511648 0.003387884824840379
670.8 1730.9740185951841 0.008281496238498706 0.001204581271054357
646.2 1746.252476322983 0.00926021852123037 0.0012798676004952545
604.7 1772.1418484942699 0.012497530687188955 0.0010540086121725626
583.2 1785.611069700756 0.04908668679546505 0.002108017224345125
567.5 1795.4711622985008 0.015584270194265747 0.001430440259377049
550.3 1806.296971118314 0.014981979558738569 0.001204581271054357
521.84 1818.0 0.3089750960254426 0.006324051673035375
508.8 1840.0 0.0897413046935496 0.004743038754776531
493.9 1841.9691797805135 0.01603598817091113 0.0018821582360224332
479.8 1850.9288102437522 0.01430440259377049 0.0015057265888179464
455.75 1866.2493935556074 0.07656619704139257 0.0027103078598723035
439.1 1876.0 0.08499826593877308 0.00308673950707679
425.6 1885.524213895645 0.018068719065815357 0.002108017224345125
408.3 1896.618396351841 0.014078543605447798 0.001204581271054357
385.4 1911.3422645118424 0.01852043704246074 0.002032730894904228
368.3 1922.3655531400432 0.0225106125028283 0.0026350215304314062
352.5 1932.5725565769656 0.027328937587045726 0.0026350215304314062
336.0 1943.2540608168194 0.007980350920735117 0.0018068719065815358
314.7 1957.0765884717584 0.01520783854706126 0.001430440259377049
296.0 1969.2431459525217 0.01520783854706126 0.0015057265888179464
256.0 1995.3660780301325 0.011292949416134597 0.0010540086121725626
278.3 1980.7860337948516 0.006926342308562553 0.001204581271054357
231.4 2011.498151322302 0.004366607107572045 0.0006022906355271785
175.8 2048.145772431329 0.04667752425335634 0.0018821582360224332
138.8 2072.676886093225 0.05857276430501812 0.0022585898832269196
110.3 2091.6505545119817 0.0394500366270302 0.0018821582360224332
76.4 2113.3 0.07905064591294218 0.0026350215304314062
49.1 2132.623627007875 0.033728275589522 0.0019574445654633307
26.0 2148.1704046928116 0.020553167937364968 0.0015810129182588437
