 PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
0 1862.14 0.0 3.7813892855300004 0.05758872571269999
1 1705.0 107.274533153 0.0259554820114 0.0064888705028399996
2 1665.95 136.0 2.006683203 0.0413665494556
3 1534.7 227.30412343400002 0.052722072835599994 0.00811108812855
4 1445.4 292.0 0.16465508900999998 0.012166632192799998
5 1379.8 338.0 0.0324443525142 0.00567776168999
6 1300.3 400.332882876 0.112744124987 0.0105444145671
7 1267.72 426.0 0.553176210367 0.023522155572799998
8 1245.5 442.0 0.259554820114 0.01703328507
9 1174.2 498.0 0.114366342613 0.0105444145671
10 1144.0 522.0 0.19466611508499998 0.013788849818500001
11 1084.3 567.799760927 0.0640775962156 0.00811108812855
12 1009.9 627.26403999 0.013788849818500001 0.0048666528771300005
13 995.7 638.717128244 0.0162221762571 0.0048666528771300005
14 964.6 665.0 0.596164977449 0.023522155572799998
15 935.1 690.0 0.06002205215130001 0.0145999586314
16 927.1 694.515119027 0.0267665908242 0.0129777410057
17 887.0 727.491087042 0.00405554406428 0.00405554406428
18 825.0 779.0 0.10219971042 0.009733305754260001
19 777.0 820.0 0.12247743074100001 0.01135552338
20 715.1 863.0 0.0218999379471 0.00567776168999
21 0.0 910.0 0.0 0.0
22 0.0 972.0 0.0 0.0
23 0.0 997.0 0.0 0.0
24 0.0 1012.0 0.0 0.0
25 477.5 1079.4193619999999 0.031633243701400006 0.0129777410057
26 485.8 1072.0117296 0.061644269776999994 0.013788849818500001
27 448.4 1105.48042569 0.0348776789528 0.0072999793157
28 422.1 1129.15401669 0.024333264385700003 0.0064888705028399996
29 320.5 1229.0 0.139510715811 0.013788849818500001
30 306.9 1234.19363268 0.030822134888499997 0.008922196941409999
31 279.8 1259.22140025 0.117610777864 0.012166632192799998
32 257.7 1279.72114042 0.140321824624 0.012166632192799998
33 207.0 1327.05424987 0.038122114204199996 0.00811108812855
34 187.6 1345.27805029 0.0267665908242 0.00811108812855
35 175.5 1355.0 0.12815519243100001 0.0129777410057
36 125.9 1403.64978454 0.078677554847 0.0105444145671
37 48.7 1476.0 0.159788436132 0.0145999586314
38 0.0 1484.0 0.0 0.0
