PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
1867.86 0.0 1.03447869217 0.0112303465395
1706.9 109.41887311 0.0207059514321 0.00187172442324
1669.54 136.0 1.4089405596 0.0132190537392
0.0 227.0 0.0 0.0
1448.92 292.0 0.113356310383 0.00386043162294
1388.2 338.0 0.018600261456 0.00175474164679
1287.8 412.446671158 0.00678500103426 0.00128681054098
1270.08 426.0 0.143888815037 0.00456232828166
1248.37 442.0 0.189863046183 0.00514724216392
1176.09 498.0 0.219342705849 0.00538120771683
1145.01 522.0 0.106571309348 0.00397741439939
0.0 568.0 0.0 0.0
1011.9 627.208191144 0.0216418136438 0.0019887071997
996.2 639.793790103 0.0155587092682 0.00187172442324
965.4 665.0 0.322287549127 0.00666801825781
933.7 690.0 0.0507705249805 0.00315853496422
918.2 702.903126892 0.00514724216392 0.00163775887034
887.0 728.41824505 0.00292456941132 0.000935862211622
825.9 779.0 0.0694877692129 0.00304155218777
776.7 820.0 0.0590763021086 0.00280758663487
725.1 863.0 0.0121662087511 0.00140379331743
669.2 910.853193789 0.00526422494037 0.00105284498807
598.3 971.871297768 0.00269060385841 0.000818879435169
569.7 996.711759271 0.012400174304 0.00140379331743
552.3 1011.88824244 0.00432836272875 0.00105284498807
484.8 1071.21900622 0.0208229342086 0.0022226727526
471.8 1082.72902947 0.050653542204 0.00304155218777
446.2 1105.47363202 0.0139209503979 0.00163775887034
414.4 1133.87208655 0.0168455198092 0.00163775887034
317.3 1221.58256774 0.0508875077569 0.00280758663487
293.0 1243.76775064 0.013686984845 0.00175474164679
277.0 1258.42663921 0.0529931977331 0.00292456941132
253.4 1280.12294103 0.0857483751398 0.00350948329358
215.5 1315.15139171 0.0169625025856 0.00175474164679
186.7 1341.92232892 0.0183662959031 0.0019887071997
171.8 1355.0 0.0766237185765 0.00339250051713
112.0 1411.97528614 0.0019887071997 0.00105284498807
45.3 1476.0 0.0951069972561 0.00631706992845
36.2 1483.96849479 0.0658613031429 0.00620008715199
